season,site,tree,latitude,longitude,elevation,higth,diameter,volume,distance_to_NN_20km,reproduction,reproduction_prop,est_n_fruits,pre_female,early_female,late_female,early_interph,late_interph,early_male,late_male,total_syconia,synchrony, damaged_syconia,counted_syconia
F2013,113,66,27.08390501,-112.514813,735.4,13,15,12252.21135,0.201,Yes,0.0001,1.225221135,0,0,0,8,0,0,1,9,1.246153846,0,60
F2013,113,67,27.08378498,-112.514551,740.28,12,10,5026.548246,0.227,Yes,0.0001,0.502654825,39,0,0,1,0,0,0,40,1.051248357,1,30
F2013,113,69,27.08358499,-112.514798,750.81,6,3,226.1946711,0.228,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,70,27.08378197,-112.514253,771.93,25,25,65449.84695,0.253,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,71,27.08402303,-112.513956,780.37,10,20,16755.16082,0.26,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,72,27.08416804,-112.513916,768.44,14,6,2111.150263,0.258,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,73,27.08320102,-112.514079,798.95,20,20,33510.32164,0.295,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,74,27.08304704,-112.514273,802.67,14,12,8444.601053,0.292,Yes,0.0001,0.844460105,8,0,0,15,4,1,3,31,3.050793651,0,60
F2013,113,75,27.08316799,-112.514382,805.73,6,7,1231.50432,0.276,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,76,27.08310798,-112.514453,808.4,12,8,3216.990877,0.274,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,77,27.08331903,-112.514455,762.91,12,8,3216.990877,0.268,Yes,0.15,482.5486316,0,4,47,12,3,0,0,66,1.831791421,0,60
F2013,113,78,27.07969696,-112.521194,843.82,10,6.5,1769.763862,0.488,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,781,27.08366303,-112.514746,755.39,NA,NA,NA,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,90,27.08648404,-112.516929,644.29,12,15,11309.73355,0.326,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,113,91,27.08378398,-112.517221,686.82,9,7,1847.25648,0.204,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,1,26.36279102,-111.804372,257.83,NA,NA,NA,0.623,Yes,0.625,NA,0,0,3,1,26,4,2,36,1.835694051,9,60
F2013,95,11,26.36243002,-111.80448,NA,NA,NA,NA,0.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,2,26.36298004,-111.803874,262.56,NA,NA,NA,0.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,02A,26.35789733,-111.803596,267.61,18,20,30159.28947,0.121,NA,NA,NA,0,0,0,43,2,1,0,46,1.141316073,3,60
F2013,95,02B,26.35789532,-111.8035568,270.25,20,22,40547.48918,0.119,NA,NA,NA,0,0,0,41,7,5,1,54,1.660592255,6,60
F2013,95,3,26.36288297,-111.803477,280.66,NA,NA,NA,0.623,No,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,4,26.36294802,-111.802742,286.04,NA,NA,NA,0.632,No,0,NA,0,0,0,27,17,0,0,44,1.901768173,0,60
F2013,95,41,26.35737003,-111.80321,NA,11,7,2257.75792,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F2013,95,5,26.363362,-111.80086,296.62,NA,NA,NA,0.717,No,0,NA,0,0,0,22,19,1,0,42,2.085106383,3,60
